X,Y,OBJECTID,GIS_ID,GIS_FeatureKey,CulturalResourceCategory,NAICSCde,NAICSDef,Description,Organization,Location,URL,AssociatedHistoricFigures,AssociatedPublications,Buildings,Bridges,Cemeteries,CivicPublic,Forts,HistoricFigures,HeritageDistricts,HeritagePlaques,Military,Monuments,ReligiousRitual,Streets,Municipal,Provincial,Federal,LastEditDate
479262.4621,4758970.0974,112,1,Eldon House,Cultural Spaces and Facilities,712119,Other Museums,175 ?year old historic home at the heart of London at the forks of the thames river.,,421 Ridout Street North,http://ourontario.ca ,,,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N,2015/05/05 00:00:00+00
475046.0085,4762403.8841,113,2,Lawson Archaeological Site,Cultural Heritage,712120,Historic and Heritage Sites,"Village site occupied by the Neutral Iroquoians circa 1525 A.D., located adjacent to and being excavating and reconstructed by the Museum of Ontario Archaeology",Museum of Ontario Archaeology,1600 Attawandaron Road,http://www.uwo.ca/museum,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,2015/05/05 00:00:00+00
475046.0085,4762403.8841,114,3,Museum of Ontario Archaeology,Cultural Spaces and Facilities,712115,History and Science Museums,"""The Museum of Ontario archaeology is dedicated to 13,000 years of the history of the occupants of Southwestern  Ontario. It is located on the site of the Lawson Prehistoric Village, Canada's only on-going excavation and reconstruction of an prehistoric v",Museum of Ontario Archaeology,1600 Attawandaron Road,http://www.uwo.ca/museum,,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,2015/05/05 00:00:00+00
477794.7213,4760447.6442,115,4,Grosvenor Lodge,Cultural Heritage,712120,Historic and Heritage Sites,"""For over 120 years, Grosvenor Lodge, which has been described as an outstanding example of """"Tudor Gothic"""", was home to one of London's pioneer families.



Samuel and Anne Peters left their native Devon to come to Canada in 1835.  His training as a civ",Heritage London Foundation,1017 Western Rd,http://www.heritagelondonfoundation.org/index_files/IndexGrosvenor.htm,,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2015/05/05 00:00:00+00
476290.3622,4762040.664,116,5,Elsie Perrin Williams Estate,Cultural Heritage,712120,Historic and Heritage Sites,"""According to the Land Registry Abstracts for the City of London, the property called Windermere, a 68 acre estate located in the north-east half of Lot 19, Concession III of London Township, was purchased by Colonel William Glass, Sheriff of the Count of",Heritage London Foundation,101 Windermere Road West,http://www.heritagelondonfoundation.org/index_files/IndexElsie.htm,,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,2015/05/05 00:00:00+00
478635.6618,4757825.6397,117,6,Askin Street,Cultural Heritage,712120,Historic and Heritage Sites,"Old South. Runs east/west between Wortley Road and Wharncliffe Road.
Colonel John Baptiste Askin was born in Detroit in 1788, when it was still under British control. He �took great pride in his descent from the original lords of the forest,� being of Nat",London Heritage Council,Askin Street.,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
475047.2189,4762396.2616,118,7,Attawadaron Road,Cultural Heritage,712120,Historic and Heritage Sites,"Northwest. Runs north/south from Aldersbrook Road to the London Museum of Archaeology.
Nestled above the Medway Valley, this area was inhabited as early as the fifteenth century by the Attawandaron people, an Iroquoian-speaking group closely related to th",London Heritage Council,Attawadaron Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
475080.1497,4760709.3051,119,8,Banting Crescent,Cultural Heritage,712120,Historic and Heritage Sites,"Northwest. Runs south off Lawson Road.
Banting Crescent�s namesake once described London as both �the place of my hours of misery� and �the place where I had the idea that was to change my life, possibly the lives of others.� Unable to secure a position a",London Heritage Council,Banting Crescent,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
478709.289,4756326.1666,120,9,Base Line Road,Cultural Heritage,712120,Historic and Heritage Sites,"South. Runs east/west from Westminster Avenue to Southcrest Drive. In Byron, the road is known as Byron Baseline Road. 
Before London was established, London and Westminster Townships were laid out on either side of the Thames River. In 1810, the governme",London Heritage Council,Base Line Road,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
481252.895,4759180.5623,121,10,Bathurst Street,Cultural Heritage,712120,Historic and Heritage Sites,"Central. Runs east/west from Thames Street to just east of Adelaide Street. 
Henry Bathurst, the third Earl Bathurst (1762-1834), was Secretary of State for War and the Colonies from 1812-27, administering the British Empire and directing military policy ",London Heritage Council,Bathurst Street,http://www.londonheritage.ca,,London Street Names,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,2015/05/05 00:00:00+00
